,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Age
131,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,26,THAILAND,29.7,17.82,31
134,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,MALAYSIA,39.6,23.76,60
136,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,9,THAILAND,49.5,29.7,50
138,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,MALAYSIA,39.6,23.76,30
139,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4,MALAYSIA,19.8,11.88,29
142,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,19,MALAYSIA,39.6,23.76,35
143,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,20,AUSTRALIA,148.5,89.1,34
145,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,2,SINGAPORE,9.9,5.94,44
146,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,VIET NAM,20.0,0.0,36
147,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,THAILAND,20.0,0.0,36
149,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,HONG KONG,20.0,0.0,36
152,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,MALAYSIA,20.0,0.0,53
154,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,PHILIPPINES,56.0,0.0,36
155,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,MALAYSIA,20.0,0.0,43
156,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19,THAILAND,20.0,0.0,36
157,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,SINGAPORE,20.0,0.0,39
158,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,THAILAND,20.0,0.0,45
159,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,VIET NAM,20.0,0.0,36
160,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22,CHINA,69.0,0.0,36
161,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,6,CHINA,36.0,0.0,36
162,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,MALAYSIA,20.0,0.0,48
163,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,JAPAN,112.0,0.0,36
164,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,CHINA,27.0,0.0,36
167,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,SINGAPORE,20.0,0.0,36
171,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,HONG KONG,20.0,0.0,61
172,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,MALAYSIA,20.0,0.0,27
174,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,INDONESIA,20.0,0.0,36
175,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,INDIA,50.0,0.0,36
177,EPX,Travel Agency,Online,Cancellation Plan,No,7,MALAYSIA,16.0,0.0,36
178,EPX,Travel Agency,Online,Cancellation Plan,No,22,HONG KONG,29.0,0.0,36
181,EPX,Travel Agency,Online,Cancellation Plan,No,28,THAILAND,27.0,0.0,36
182,EPX,Travel Agency,Online,Cancellation Plan,No,13,CHINA,33.0,0.0,36
184,EPX,Travel Agency,Online,Cancellation Plan,No,7,SINGAPORE,18.0,0.0,36
185,EPX,Travel Agency,Online,Cancellation Plan,No,7,"KOREA, REPUBLIC OF",58.0,0.0,36
189,EPX,Travel Agency,Online,Cancellation Plan,No,18,THAILAND,29.0,0.0,36
191,EPX,Travel Agency,Online,Cancellation Plan,No,21,INDONESIA,15.0,0.0,31
192,EPX,Travel Agency,Online,Cancellation Plan,No,25,MALAYSIA,20.0,0.0,36
193,EPX,Travel Agency,Online,Cancellation Plan,No,19,"KOREA, REPUBLIC OF",19.0,0.0,36
194,EPX,Travel Agency,Online,Cancellation Plan,No,20,MALAYSIA,13.0,0.0,36
197,EPX,Travel Agency,Online,Cancellation Plan,No,24,THAILAND,10.0,0.0,36
199,EPX,Travel Agency,Online,Cancellation Plan,No,12,MALAYSIA,13.0,0.0,36
200,EPX,Travel Agency,Online,Cancellation Plan,No,5,MALAYSIA,10.0,0.0,36
201,EPX,Travel Agency,Online,Cancellation Plan,No,25,CZECH REPUBLIC,80.0,0.0,36
202,EPX,Travel Agency,Online,Cancellation Plan,No,12,HONG KONG,80.0,0.0,36
203,EPX,Travel Agency,Online,Cancellation Plan,No,12,THAILAND,34.0,0.0,36
205,EPX,Travel Agency,Online,Cancellation Plan,No,13,MYANMAR,10.0,0.0,36
207,EPX,Travel Agency,Online,Cancellation Plan,No,29,"KOREA, REPUBLIC OF",22.0,0.0,30
210,EPX,Travel Agency,Online,Cancellation Plan,No,13,SRI LANKA,10.0,0.0,36
211,EPX,Travel Agency,Online,Cancellation Plan,No,12,CAMBODIA,14.0,0.0,36
212,EPX,Travel Agency,Online,Cancellation Plan,No,9,THAILAND,13.0,0.0,36
213,EPX,Travel Agency,Online,Cancellation Plan,No,6,THAILAND,23.0,0.0,33
215,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,2,MALAYSIA,20.0,0.0,36
216,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,26,MALAYSIA,20.0,0.0,24
217,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,4,CHINA,20.0,0.0,36
218,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,25,CHINA,46.0,0.0,36
221,RAB,Airlines,Online,Value Plan,No,14,BRUNEI DARUSSALAM,15.0,6.0,39
224,SSI,Airlines,Online,Ticket Protector,No,11,SINGAPORE,7.21,2.02,48
225,JZI,Airlines,Online,Basic Plan,No,5,HONG KONG,22.0,7.7,67
226,JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22.0,7.7,53
227,JZI,Airlines,Online,Basic Plan,No,6,THAILAND,22.0,7.7,60
228,JZI,Airlines,Online,Basic Plan,No,2,VIET NAM,18.0,6.3,57
229,JZI,Airlines,Online,Basic Plan,No,15,CAMBODIA,30.0,10.5,57
231,JZI,Airlines,Online,Basic Plan,No,28,HONG KONG,35.0,12.25,52
232,JZI,Airlines,Online,Basic Plan,No,21,VIET NAM,22.0,7.7,40
237,C2B,Airlines,Online,Bronze Plan,No,19,SINGAPORE,17.55,4.39,31
238,C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,17.55,4.39,35
239,C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,17.55,4.39,26
240,C2B,Airlines,Online,Bronze Plan,No,28,SINGAPORE,17.55,4.39,33
242,C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,38.35,9.59,34
245,C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,62.25,15.56,27
246,C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,81.75,20.44,30
247,C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,62.25,15.56,29
248,C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,43.55,10.89,45
249,C2B,Airlines,Online,Silver Plan,No,10,SINGAPORE,43.55,10.89,46
256,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,20,ITALY,39.6,23.76,51
258,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,3,MALAYSIA,29.7,17.82,28
261,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,17,UNITED STATES,118.8,71.28,32
262,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,6,UNITED STATES,29.7,17.82,31
264,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,UNITED KINGDOM,39.6,23.76,31
265,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,THAILAND,29.7,17.82,44
266,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,18,AUSTRALIA,138.6,83.16,51
267,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,AUSTRALIA,29.7,17.82,29
269,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,SOUTH AFRICA,49.5,29.7,31
271,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,12,JAPAN,29.7,17.82,31
275,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,26,MALAYSIA,20.0,0.0,36
278,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,HONG KONG,23.0,0.0,28
280,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,27,INDONESIA,20.0,0.0,36
281,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22,INDONESIA,20.0,0.0,36
283,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,AUSTRALIA,74.0,0.0,36
284,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,LAO PEOPLE'S DEMOCRATIC REPUBLIC,37.0,0.0,36
285,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21,CHINA,52.0,0.0,36
288,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20,THAILAND,20.0,0.0,36
290,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,15,PHILIPPINES,30.0,0.0,36
291,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20,INDIA,46.0,0.0,36
292,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,THAILAND,20.0,0.0,36
293,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,14,THAILAND,20.0,0.0,40
295,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,2,MALAYSIA,29.0,0.0,36
296,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,MALAYSIA,20.0,0.0,35
298,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,MALAYSIA,32.0,0.0,36
299,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,VIET NAM,23.0,0.0,36
300,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,24,VIET NAM,71.0,0.0,36
301,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,SINGAPORE,20.0,0.0,36
303,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,CHINA,37.0,0.0,36
304,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,MALAYSIA,20.0,0.0,25
305,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,17,THAILAND,26.0,0.0,69
307,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,SINGAPORE,30.0,0.0,36
309,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,SRI LANKA,39.0,0.0,36
314,EPX,Travel Agency,Online,Cancellation Plan,No,12,MALAYSIA,10.0,0.0,36
315,EPX,Travel Agency,Online,Cancellation Plan,No,15,SINGAPORE,19.0,0.0,36
316,EPX,Travel Agency,Online,Cancellation Plan,No,12,VIET NAM,37.0,0.0,36
317,EPX,Travel Agency,Online,Cancellation Plan,No,27,SINGAPORE,70.0,0.0,26
318,EPX,Travel Agency,Online,Cancellation Plan,No,24,MALAYSIA,14.0,0.0,36
319,EPX,Travel Agency,Online,Cancellation Plan,No,27,MALAYSIA,10.0,0.0,49
323,EPX,Travel Agency,Online,Cancellation Plan,No,8,UNITED STATES,42.0,0.0,55
325,EPX,Travel Agency,Online,Cancellation Plan,No,27,CAMBODIA,17.0,0.0,36
327,EPX,Travel Agency,Online,Cancellation Plan,No,11,HONG KONG,18.0,0.0,36
328,EPX,Travel Agency,Online,Cancellation Plan,No,5,HONG KONG,29.0,0.0,36
330,EPX,Travel Agency,Online,Cancellation Plan,No,29,"TAIWAN, PROVINCE OF CHINA",43.0,0.0,36
331,EPX,Travel Agency,Online,Cancellation Plan,No,7,SINGAPORE,10.0,0.0,36
332,EPX,Travel Agency,Online,Cancellation Plan,No,28,THAILAND,30.0,0.0,36
337,EPX,Travel Agency,Online,Cancellation Plan,No,18,MYANMAR,19.0,0.0,36
339,EPX,Travel Agency,Online,Cancellation Plan,No,13,HONG KONG,21.0,0.0,53
340,EPX,Travel Agency,Online,Cancellation Plan,No,25,INDIA,20.0,0.0,36
341,EPX,Travel Agency,Online,Cancellation Plan,No,15,CHINA,32.0,0.0,36
342,EPX,Travel Agency,Online,Cancellation Plan,No,11,CHINA,24.0,0.0,36
343,EPX,Travel Agency,Online,Cancellation Plan,No,13,CHINA,16.0,0.0,36
345,EPX,Travel Agency,Online,Cancellation Plan,No,26,MALAYSIA,22.0,0.0,54
349,EPX,Travel Agency,Online,Cancellation Plan,No,27,INDONESIA,10.0,0.0,28
351,EPX,Travel Agency,Online,Cancellation Plan,No,27,HONG KONG,30.0,0.0,20
352,EPX,Travel Agency,Online,Cancellation Plan,No,25,AUSTRALIA,45.0,0.0,36
355,EPX,Travel Agency,Online,Cancellation Plan,No,19,MALAYSIA,10.0,0.0,36
357,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,14,CHINA,20.0,0.0,36
358,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,6,MYANMAR,20.0,0.0,57
359,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,9,MYANMAR,20.0,0.0,36
361,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,17,JAPAN,39.0,0.0,36
362,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,25,CHINA,27.0,0.0,36
363,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,5,SINGAPORE,51.0,0.0,36
365,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,5,VIET NAM,20.0,0.0,29
366,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,17,MALAYSIA,37.0,0.0,36
369,RAB,Airlines,Online,Value Plan,No,3,BRUNEI DARUSSALAM,15.0,6.0,48
373,SSI,Airlines,Online,Ticket Protector,No,13,SINGAPORE,5.09,1.43,48
374,JZI,Airlines,Online,Basic Plan,No,4,MYANMAR,18.0,6.3,29
376,JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,18.0,6.3,33
377,JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18.0,6.3,40
379,JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22.0,7.7,42
380,JZI,Airlines,Online,Basic Plan,No,24,INDIA,35.0,12.25,53
381,JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22.0,7.7,45
383,JZI,Airlines,Online,Basic Plan,No,6,THAILAND,18.0,6.3,49
384,JZI,Airlines,Online,Basic Plan,No,7,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,47
385,JZI,Airlines,Online,Basic Plan,No,20,SRI LANKA,26.0,9.1,45
386,JZI,Airlines,Online,Basic Plan,No,6,CHINA,26.0,9.1,47
387,JZI,Airlines,Online,Basic Plan,No,15,THAILAND,22.0,7.7,49
388,JZI,Airlines,Online,Basic Plan,No,4,THAILAND,18.0,6.3,55
390,JZI,Airlines,Online,Basic Plan,No,14,THAILAND,22.0,7.7,70
391,JZI,Airlines,Online,Basic Plan,No,14,MYANMAR,33.0,11.55,34
393,JZI,Airlines,Online,Basic Plan,No,13,THAILAND,22.0,7.7,68
398,JZI,Airlines,Online,Value Plan,No,11,GERMANY,87.0,30.45,49
399,JZI,Airlines,Online,Value Plan,No,10,CHINA,45.0,15.75,50
406,ART,Airlines,Online,24 Protect,No,2,PHILIPPINES,7.44,2.6,48
407,ART,Airlines,Online,24 Protect,No,2,THAILAND,9.48,3.32,48
408,C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,38.35,9.59,71
409,C2B,Airlines,Online,Bronze Plan,No,17,SINGAPORE,38.35,9.59,45
412,C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,17.55,4.39,22
413,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17.25,4.31,60
416,C2B,Airlines,Online,Bronze Plan,No,5,SINGAPORE,17.55,4.39,25
418,C2B,Airlines,Online,Silver Plan,No,18,SINGAPORE,71.0,17.75,42
419,C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,62.25,15.56,33
422,C2B,Airlines,Online,Silver Plan,No,5,SINGAPORE,25.9,6.47,42
423,C2B,Airlines,Online,Gold Plan,No,26,SINGAPORE,119.0,29.75,48
429,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,2,MALAYSIA,9.9,5.94,67
430,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,2,UNITED STATES,19.8,11.88,30
431,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,17,THAILAND,29.7,17.82,52
433,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28,THAILAND,49.5,29.7,31
434,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,MALAYSIA,19.8,11.88,69
435,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4,UNITED ARAB EMIRATES,19.8,11.88,31
437,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,26,AUSTRALIA,39.6,23.76,43
448,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,INDONESIA,20.0,0.0,51
449,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21,MALAYSIA,20.0,0.0,36
453,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,25,PHILIPPINES,70.0,0.0,36
457,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,SINGAPORE,26.0,0.0,36
460,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19,MALAYSIA,20.0,0.0,50
462,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,9,CHINA,87.0,0.0,36
463,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,INDONESIA,20.0,0.0,65
464,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,THAILAND,20.0,0.0,36
465,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,SINGAPORE,30.0,0.0,36
466,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,16,CHINA,46.0,0.0,36
467,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,6,INDONESIA,26.0,0.0,36
468,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,CAMBODIA,103.0,0.0,36
469,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,14,MALAYSIA,20.0,0.0,39
474,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,CHINA,68.0,0.0,36
480,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,25,UNITED STATES,98.0,0.0,38
481,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,NETHERLANDS,112.0,0.0,36
482,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,MALAYSIA,20.0,0.0,36
483,EPX,Travel Agency,Online,Cancellation Plan,No,18,CHINA,31.0,0.0,36
485,EPX,Travel Agency,Online,Cancellation Plan,No,12,HONG KONG,21.0,0.0,51
486,EPX,Travel Agency,Online,Cancellation Plan,No,6,SINGAPORE,13.0,0.0,28
487,EPX,Travel Agency,Online,Cancellation Plan,No,14,THAILAND,27.0,0.0,36
490,EPX,Travel Agency,Online,Cancellation Plan,No,7,MACAO,19.0,0.0,36
492,EPX,Travel Agency,Online,Cancellation Plan,No,22,MALAYSIA,11.0,0.0,45
493,EPX,Travel Agency,Online,Cancellation Plan,No,24,SINGAPORE,60.0,0.0,36
495,EPX,Travel Agency,Online,Cancellation Plan,No,12,MALAYSIA,20.0,0.0,45
497,EPX,Travel Agency,Online,Cancellation Plan,No,12,VIET NAM,15.0,0.0,36
500,EPX,Travel Agency,Online,Cancellation Plan,No,10,INDIA,45.0,0.0,36
501,EPX,Travel Agency,Online,Cancellation Plan,No,28,INDIA,25.0,0.0,36
503,EPX,Travel Agency,Online,Cancellation Plan,No,27,CHINA,46.0,0.0,49
504,EPX,Travel Agency,Online,Cancellation Plan,No,28,INDIA,35.0,0.0,36
505,EPX,Travel Agency,Online,Cancellation Plan,No,19,FINLAND,80.0,0.0,36
507,EPX,Travel Agency,Online,Cancellation Plan,No,11,INDONESIA,32.0,0.0,36
508,EPX,Travel Agency,Online,Cancellation Plan,No,11,THAILAND,15.0,0.0,36
509,EPX,Travel Agency,Online,Cancellation Plan,No,12,SINGAPORE,10.0,0.0,36
510,EPX,Travel Agency,Online,Cancellation Plan,No,4,THAILAND,10.0,0.0,36
511,EPX,Travel Agency,Online,Cancellation Plan,No,7,THAILAND,10.0,0.0,24
512,EPX,Travel Agency,Online,Cancellation Plan,No,12,AUSTRALIA,33.0,0.0,36
514,EPX,Travel Agency,Online,Cancellation Plan,No,2,SINGAPORE,14.0,0.0,36
515,EPX,Travel Agency,Online,Cancellation Plan,No,3,"KOREA, REPUBLIC OF",49.0,0.0,21
517,EPX,Travel Agency,Online,Cancellation Plan,No,9,HONG KONG,15.0,0.0,36
519,EPX,Travel Agency,Online,Cancellation Plan,No,15,SINGAPORE,80.0,0.0,36
520,EPX,Travel Agency,Online,Cancellation Plan,No,26,PHILIPPINES,19.0,0.0,29
523,EPX,Travel Agency,Online,Cancellation Plan,No,4,VIET NAM,10.0,0.0,36
525,EPX,Travel Agency,Online,Cancellation Plan,No,5,HONG KONG,10.0,0.0,36
527,EPX,Travel Agency,Online,Cancellation Plan,No,6,SINGAPORE,16.0,0.0,45
