,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
21710,C2B,Airlines,Online,Bronze Plan,Yes,21,SINGAPORE,22.1,5.53,M,28
21929,JZI,Airlines,Online,Basic Plan,Yes,3,HONG KONG,22.0,7.7,M,59
22147,C2B,Airlines,Online,Bronze Plan,Yes,14,SINGAPORE,23.4,5.85,M,69
22682,C2B,Airlines,Online,Bronze Plan,Yes,14,SINGAPORE,22.1,5.53,M,26
22868,C2B,Airlines,Online,Bronze Plan,Yes,5,SINGAPORE,17.55,4.39,F,32
22873,C2B,Airlines,Online,Bronze Plan,Yes,15,SINGAPORE,29.9,7.47,F,26
23554,C2B,Airlines,Online,Bronze Plan,Yes,23,SINGAPORE,57.85,14.46,M,36
23557,C2B,Airlines,Online,Silver Plan,Yes,16,SINGAPORE,127.0,31.75,M,34
23779,C2B,Airlines,Online,Bronze Plan,Yes,16,SINGAPORE,48.3,12.07,M,46
25425,EPX,Travel Agency,Online,1 way Comprehensive Plan,Yes,3,VIET NAM,20.0,0.0,,39
25671,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,10,MALAYSIA,49.5,29.7,,31
25839,JZI,Airlines,Online,Basic Plan,Yes,9,CHINA,26.0,9.1,M,57
25845,JZI,Airlines,Online,Basic Plan,Yes,9,CHINA,26.0,9.1,M,47
26377,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,7,SWITZERLAND,9.9,5.94,,47
26555,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,24,MALAYSIA,39.6,23.76,,31
26930,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,21,AUSTRALIA,49.5,29.7,,47
26997,EPX,Travel Agency,Online,Cancellation Plan,Yes,4,FRANCE,11.0,0.0,,36
27060,KML,Travel Agency,Online,Value Plan,Yes,18,INDONESIA,28.0,10.64,F,48
27875,JZI,Airlines,Online,Basic Plan,Yes,14,HONG KONG,26.0,9.1,F,36
28072,C2B,Airlines,Online,Bronze Plan,Yes,29,SINGAPORE,18.0,4.5,F,35
28073,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,17.0,4.25,M,52
28089,C2B,Airlines,Online,Bronze Plan,Yes,22,SINGAPORE,40.5,10.13,F,30
28108,C2B,Airlines,Online,Gold Plan,Yes,20,SINGAPORE,60.0,15.0,F,75
28142,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,26,CHINA,40.0,0.0,,36
28154,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,22,UNITED STATES,112.0,0.0,,42
28318,C2B,Airlines,Online,Silver Plan,Yes,29,SINGAPORE,33.5,8.38,F,23
28321,C2B,Airlines,Online,Silver Plan,Yes,24,SINGAPORE,25.0,6.25,M,38
28601,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,17,"TAIWAN, PROVINCE OF CHINA",29.7,17.82,,37
28733,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,23.0,5.75,M,27
28740,C2B,Airlines,Online,Bronze Plan,Yes,8,SINGAPORE,17.0,4.25,F,30
28947,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,8,AUSTRALIA,29.7,17.82,,57
29122,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,10,CHINA,56.0,0.0,,36
29262,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,10,AUSTRALIA,69.3,41.58,,26
29505,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,15,CAMBODIA,20.0,0.0,,36
29565,EPX,Travel Agency,Online,Cancellation Plan,Yes,21,THAILAND,38.0,0.0,,36
29688,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,12,HONG KONG,29.0,0.0,,36
29830,C2B,Airlines,Online,Bronze Plan,Yes,17,SINGAPORE,29.5,7.38,F,51
29987,C2B,Airlines,Online,Bronze Plan,Yes,3,SINGAPORE,25.2,6.3,F,39
30014,C2B,Airlines,Online,Gold Plan,Yes,24,SINGAPORE,99.45,24.86,M,38
30029,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,12,UNITED ARAB EMIRATES,39.6,23.76,,35
30036,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,9,THAILAND,29.7,17.82,,26
30071,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,18,AUSTRALIA,71.0,0.0,,36
30143,C2B,Airlines,Online,Bronze Plan,Yes,19,SINGAPORE,62.0,15.5,F,28
30145,C2B,Airlines,Online,Bronze Plan,Yes,8,SINGAPORE,23.5,5.88,M,36
30147,C2B,Airlines,Online,Bronze Plan,Yes,16,SINGAPORE,47.0,11.75,F,57
30149,C2B,Airlines,Online,Bronze Plan,Yes,16,SINGAPORE,47.0,11.75,M,63
30150,C2B,Airlines,Online,Bronze Plan,Yes,16,SINGAPORE,47.0,11.75,F,24
30151,C2B,Airlines,Online,Bronze Plan,Yes,16,SINGAPORE,47.0,11.75,M,22
30469,C2B,Airlines,Online,Bronze Plan,Yes,21,SINGAPORE,47.0,11.75,F,41
30531,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,6,UNITED KINGDOM,59.4,35.64,,43
30574,EPX,Travel Agency,Online,Cancellation Plan,Yes,17,ISRAEL,60.0,0.0,,36
30694,C2B,Airlines,Online,Silver Plan,Yes,9,SINGAPORE,18.5,4.63,M,28
30747,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,25,CHINA,39.0,0.0,,36
30999,RAB,Airlines,Online,Value Plan,Yes,7,BRUNEI DARUSSALAM,15.0,6.0,M,69
31031,C2B,Airlines,Online,Bronze Plan,Yes,6,SINGAPORE,13.5,3.38,M,60
31213,C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,25.0,6.25,F,27
31368,C2B,Airlines,Online,Bronze Plan,Yes,7,SINGAPORE,23.5,5.88,M,52
31427,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,8,MALAYSIA,23.0,0.0,,20
31509,C2B,Airlines,Online,Silver Plan,Yes,20,SINGAPORE,63.5,15.88,F,31
31570,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,11,MALAYSIA,20.0,0.0,,36
31648,C2B,Airlines,Online,Bronze Plan,Yes,13,SINGAPORE,13.5,3.38,M,44
31691,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,12,THAILAND,79.2,47.52,,60
31703,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,13,CHINA,49.0,0.0,,36
31821,C2B,Airlines,Online,Silver Plan,Yes,13,SINGAPORE,54.5,13.63,M,34
31945,EPX,Travel Agency,Online,Cancellation Plan,Yes,29,CANADA,23.0,0.0,,32
32026,C2B,Airlines,Online,Bronze Plan,Yes,8,SINGAPORE,23.5,5.88,M,25
32179,C2B,Airlines,Online,Bronze Plan,Yes,9,SINGAPORE,17.0,4.25,F,29
32193,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,29.5,7.38,M,33
32204,C2B,Airlines,Online,Silver Plan,Yes,17,SINGAPORE,42.0,10.5,F,20
32401,C2B,Airlines,Online,Silver Plan,Yes,15,SINGAPORE,63.5,15.88,F,27
32503,C2B,Airlines,Online,Bronze Plan,Yes,4,SINGAPORE,13.5,3.38,M,43
32837,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,47.0,11.75,M,34
32858,C2B,Airlines,Online,Bronze Plan,Yes,22,SINGAPORE,53.5,13.38,F,24
33207,C2B,Airlines,Online,Bronze Plan,Yes,9,SINGAPORE,17.0,4.25,M,24
33220,C2B,Airlines,Online,Silver Plan,Yes,19,SINGAPORE,72.0,18.0,F,31
33223,C2B,Airlines,Online,Silver Plan,Yes,12,SINGAPORE,18.5,4.63,F,36
33403,C2B,Airlines,Online,Bronze Plan,Yes,9,SINGAPORE,23.5,5.88,F,29
33412,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,17.0,4.25,F,43
33437,C2B,Airlines,Online,Silver Plan,Yes,18,SINGAPORE,24.5,6.13,M,30
33442,C2B,Airlines,Online,Silver Plan,Yes,13,SINGAPORE,54.5,13.63,M,25
33648,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,26,SOUTH AFRICA,99.0,59.4,,64
33800,C2B,Airlines,Online,Silver Plan,Yes,21,SINGAPORE,49.5,12.38,F,34
33801,C2B,Airlines,Online,Silver Plan,Yes,14,SINGAPORE,33.5,8.38,M,54
33832,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,19,HONG KONG,39.0,0.0,,36
33993,C2B,Airlines,Online,Gold Plan,Yes,9,SINGAPORE,36.5,9.13,M,22
34205,C2B,Airlines,Online,Gold Plan,Yes,14,SINGAPORE,76.5,19.13,F,51
34268,EPX,Travel Agency,Online,Cancellation Plan,Yes,27,HONG KONG,13.0,0.0,,36
34745,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,23.5,5.88,F,22
34749,C2B,Airlines,Online,Bronze Plan,Yes,6,SINGAPORE,13.5,3.38,F,26
34773,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,19,AUSTRALIA,158.4,95.04,,24
34782,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,21,AUSTRALIA,59.4,35.64,,50
34913,JZI,Airlines,Online,Value Plan,Yes,25,CANADA,138.0,48.3,F,46
35076,C2B,Airlines,Online,Silver Plan,Yes,5,SINGAPORE,18.5,4.63,F,65
35110,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,9,THAILAND,39.6,23.76,,32
35227,C2B,Airlines,Online,Bronze Plan,Yes,5,SINGAPORE,13.5,3.38,F,24
35229,C2B,Airlines,Online,Silver Plan,Yes,3,SINGAPORE,15.0,3.75,F,44
35267,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,21,UNITED KINGDOM,138.6,83.16,,31
35393,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,12,INDONESIA,47.0,30.55,M,40
35429,C2B,Airlines,Online,Bronze Plan,Yes,20,SINGAPORE,23.0,5.75,F,30
35459,C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,35.5,8.88,M,36
35501,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,21,CHINA,35.0,0.0,,36
35877,C2B,Airlines,Online,Silver Plan,Yes,17,SINGAPORE,33.5,8.38,M,31
36066,JZI,Airlines,Online,Basic Plan,Yes,18,MALAYSIA,30.0,10.5,F,38
36108,C2B,Airlines,Online,Bronze Plan,Yes,6,SINGAPORE,18.0,4.5,M,56
36272,C2B,Airlines,Online,Bronze Plan,Yes,8,SINGAPORE,30.55,7.64,M,30
36287,C2B,Airlines,Online,Silver Plan,Yes,7,SINGAPORE,25.0,6.25,M,27
36405,C2B,Airlines,Online,Bronze Plan,Yes,28,SINGAPORE,23.5,5.88,M,28
36469,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,19,VIET NAM,25.0,0.0,,36
36582,C2B,Airlines,Online,Bronze Plan,Yes,8,SINGAPORE,18.0,4.5,F,30
36596,C2B,Airlines,Online,Silver Plan,Yes,26,SINGAPORE,35.5,8.88,M,34
36649,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,8,HONG KONG,30.0,0.0,,41
36930,C2B,Airlines,Online,Bronze Plan,Yes,16,SINGAPORE,13.5,3.38,F,22
36956,C2B,Airlines,Online,Silver Plan,Yes,14,SINGAPORE,54.5,13.63,M,30
36959,C2B,Airlines,Online,Gold Plan,Yes,26,SINGAPORE,49.0,12.25,F,33
37108,C2B,Airlines,Online,Bronze Plan,Yes,8,SINGAPORE,17.0,4.25,M,34
37191,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,10,CHINA,39.0,0.0,,36
37360,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,7,PHILIPPINES,61.0,0.0,,36
37513,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,27,THAILAND,21.0,0.0,,35
37605,C2B,Airlines,Online,Silver Plan,Yes,15,SINGAPORE,33.5,8.38,F,24
37646,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,20,"KOREA, REPUBLIC OF",46.0,0.0,,36
37759,C2B,Airlines,Online,Silver Plan,Yes,20,SINGAPORE,72.0,18.0,M,23
38093,C2B,Airlines,Online,Bronze Plan,Yes,7,SINGAPORE,17.0,4.25,F,44
38117,C2B,Airlines,Online,Silver Plan,Yes,21,SINGAPORE,72.0,18.0,F,47
38121,C2B,Airlines,Online,Silver Plan,Yes,5,SINGAPORE,15.0,3.75,F,35
38523,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,20,CHINA,66.0,0.0,,36
38784,C2B,Airlines,Online,Bronze Plan,Yes,18,SINGAPORE,34.5,8.63,F,30
38910,EPX,Travel Agency,Online,Cancellation Plan,Yes,3,MALAYSIA,34.0,0.0,,36
38938,EPX,Travel Agency,Online,1 way Comprehensive Plan,Yes,3,AUSTRALIA,50.0,0.0,,36
38961,C2B,Airlines,Online,Bronze Plan,Yes,13,SINGAPORE,47.0,11.75,M,38
38979,C2B,Airlines,Online,Bronze Plan,Yes,19,SINGAPORE,17.0,4.25,F,35
39036,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,12,MALAYSIA,29.7,17.82,,28
39272,C2B,Airlines,Online,Silver Plan,Yes,15,SINGAPORE,42.0,10.5,M,26
39456,C2B,Airlines,Online,Bronze Plan,Yes,19,SINGAPORE,20.0,5.0,M,29
39485,C2B,Airlines,Online,Silver Plan,Yes,4,SINGAPORE,30.0,7.5,M,27
39685,C2B,Airlines,Online,Bronze Plan,Yes,6,SINGAPORE,23.5,5.88,M,39
39691,C2B,Airlines,Online,Bronze Plan,Yes,6,SINGAPORE,18.0,4.5,F,27
39695,C2B,Airlines,Online,Silver Plan,Yes,13,SINGAPORE,54.5,13.63,F,32
39705,C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,41.0,10.25,F,26
40034,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,5,VIET NAM,25.0,16.25,M,30
40050,JZI,Airlines,Online,Basic Plan,Yes,29,"TAIWAN, PROVINCE OF CHINA",40.0,14.0,F,60
40073,C2B,Airlines,Online,Silver Plan,Yes,29,SINGAPORE,48.5,12.13,F,28
40210,JZI,Airlines,Online,Value Plan,Yes,8,CHINA,45.0,15.75,M,45
40241,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,28,AUSTRALIA,79.2,47.52,,36
40349,EPX,Travel Agency,Online,Cancellation Plan,Yes,25,CANADA,73.0,0.0,,25
40392,C2B,Airlines,Online,Silver Plan,Yes,6,SINGAPORE,22.5,5.63,F,56
40393,C2B,Airlines,Online,Silver Plan,Yes,20,SINGAPORE,81.5,20.38,M,45
40459,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,6,CHINA,73.0,0.0,,36
40644,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,24,AUSTRALIA,59.4,35.64,,30
40653,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,12,"KOREA, REPUBLIC OF",40.0,0.0,,36
41238,C2B,Airlines,Online,Bronze Plan,Yes,17,SINGAPORE,26.5,6.63,M,28
41249,C2B,Airlines,Online,Silver Plan,Yes,28,SINGAPORE,88.5,22.13,F,30
41250,C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,47.5,11.88,M,44
41419,C2B,Airlines,Online,Bronze Plan,Yes,13,SINGAPORE,21.0,5.25,F,28
41496,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,11,"KOREA, REPUBLIC OF",69.0,0.0,,36
41653,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,19,THAILAND,39.6,23.76,,50
42031,C2B,Airlines,Online,Bronze Plan,Yes,16,SINGAPORE,53.0,13.25,F,30
42036,C2B,Airlines,Online,Bronze Plan,Yes,28,SINGAPORE,56.5,14.13,F,24
42136,EPX,Travel Agency,Online,Cancellation Plan,Yes,6,FRANCE,43.0,0.0,,36
42186,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,27.0,6.75,F,68
42193,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,40.0,10.0,M,31
42200,C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,22.5,5.63,M,23
42330,EPX,Travel Agency,Online,Cancellation Plan,Yes,28,SINGAPORE,10.0,0.0,,32
42373,C2B,Airlines,Online,Bronze Plan,Yes,13,SINGAPORE,33.5,8.38,F,35
42389,C2B,Airlines,Online,Silver Plan,Yes,13,SINGAPORE,48.5,12.13,F,42
42642,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,27.0,6.75,F,25
42643,C2B,Airlines,Online,Bronze Plan,Yes,6,SINGAPORE,21.0,5.25,F,30
42658,C2B,Airlines,Online,Gold Plan,Yes,27,SINGAPORE,69.0,17.25,M,33
42823,C2B,Airlines,Online,Bronze Plan,Yes,18,SINGAPORE,60.0,15.0,F,36
43202,C2B,Airlines,Online,Bronze Plan,Yes,16,SINGAPORE,16.0,4.0,F,42
43256,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,5,CHINA,46.0,0.0,,36
43365,C2B,Airlines,Online,Bronze Plan,Yes,26,SINGAPORE,27.0,6.75,M,58
43396,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,16,THAILAND,29.7,17.82,,27
43682,C2B,Airlines,Online,Silver Plan,Yes,19,SINGAPORE,72.0,18.0,M,33
43875,C2B,Airlines,Online,Gold Plan,Yes,19,SINGAPORE,105.6,26.4,M,65
43962,EPX,Travel Agency,Online,Cancellation Plan,Yes,28,SPAIN,10.0,0.0,,36
44073,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,13,UNITED KINGDOM,99.0,59.4,,56
44738,C2B,Airlines,Online,Bronze Plan,Yes,5,SINGAPORE,16.0,4.0,F,26
44920,C2B,Airlines,Online,Bronze Plan,Yes,17,SINGAPORE,60.0,15.0,M,45
44930,C2B,Airlines,Online,Bronze Plan,Yes,26,SINGAPORE,20.0,5.0,F,27
44932,C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,29.5,7.38,F,38
45203,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,8,CHINA,34.0,0.0,,36
45313,C2B,Airlines,Online,Bronze Plan,Yes,27,SINGAPORE,60.0,15.0,M,30
45325,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,20.0,5.0,F,29
45331,C2B,Airlines,Online,Silver Plan,Yes,24,SINGAPORE,144.0,36.0,F,42
45369,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,14,CZECH REPUBLIC,128.7,77.22,,41
45842,C2B,Airlines,Online,Bronze Plan,Yes,26,SINGAPORE,39.0,9.75,F,37
45856,C2B,Airlines,Online,Silver Plan,Yes,9,SINGAPORE,39.0,9.75,M,30
45857,C2B,Airlines,Online,Silver Plan,Yes,29,SINGAPORE,81.5,20.38,M,28
45872,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,10,ITALY,99.0,59.4,,35
45891,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,14,CHINA,30.0,0.0,,36
46078,C2B,Airlines,Online,Silver Plan,Yes,29,SINGAPORE,27.0,6.75,F,33
46260,C2B,Airlines,Online,Bronze Plan,Yes,20,SINGAPORE,27.0,6.75,M,36
46574,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,26,"KOREA, REPUBLIC OF",50.0,0.0,,36
46752,C2B,Airlines,Online,Silver Plan,Yes,14,SINGAPORE,62.0,15.5,F,26
46920,C2B,Airlines,Online,Bronze Plan,Yes,17,SINGAPORE,60.0,15.0,F,67
47091,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,3,MALAYSIA,27.0,17.55,M,32
47354,SSI,Airlines,Online,Ticket Protector,Yes,28,SINGAPORE,9.13,2.56,,48
47660,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,15,JAPAN,44.0,0.0,,36
47768,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,27.0,6.75,F,29
47773,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,27.0,6.75,M,37
47787,C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,39.0,9.75,F,31
48024,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,18,AUSTRALIA,69.3,41.58,,32
48210,C2B,Airlines,Online,Bronze Plan,Yes,7,SINGAPORE,19.2,4.8,F,26
48219,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,27.0,6.75,F,64
48224,C2B,Airlines,Online,Silver Plan,Yes,17,SINGAPORE,48.5,12.13,F,56
48225,C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,47.5,11.88,M,33
48226,C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,39.0,9.75,F,24
48418,CCR,Travel Agency,Offline,Comprehensive Plan,Yes,4,MALAYSIA,29.0,9.57,M,25
48429,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,27.0,6.75,F,26
48436,C2B,Airlines,Online,Bronze Plan,Yes,25,SINGAPORE,80.5,20.13,M,32
49075,EPX,Travel Agency,Online,Cancellation Plan,Yes,21,MALAYSIA,12.0,0.0,,26
49280,EPX,Travel Agency,Online,Cancellation Plan,Yes,22,CHINA,29.0,0.0,,36
49403,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,26.5,6.63,F,28
49752,C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,37.0,9.25,M,28
49963,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,12,CHINA,32.0,0.0,,36
49973,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,15,THAILAND,21.0,0.0,,36
50036,KML,Travel Agency,Online,Premier Plan,Yes,8,SWITZERLAND,86.0,32.68,M,48
50061,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,20.0,5.0,M,52
50197,C2B,Airlines,Online,Bronze Plan,Yes,3,SINGAPORE,19.2,4.8,M,41
50529,C2B,Airlines,Online,Bronze Plan,Yes,2,SINGAPORE,27.0,6.75,F,22
50550,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,8,MALAYSIA,49.5,29.7,,38
50901,LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,Yes,5,CHINA,42.0,27.3,M,46
50952,C2B,Airlines,Online,Silver Plan,Yes,6,SINGAPORE,29.0,7.25,F,34
51143,C2B,Airlines,Online,Bronze Plan,Yes,2,SINGAPORE,27.0,6.75,F,37
51336,C2B,Airlines,Online,Silver Plan,Yes,4,SINGAPORE,29.0,7.25,M,40
51490,C2B,Airlines,Online,Silver Plan,Yes,5,SINGAPORE,22.5,5.63,F,34
51654,C2B,Airlines,Online,Silver Plan,Yes,27,SINGAPORE,18.5,4.63,F,28
51725,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,27,INDONESIA,22.0,0.0,,36
51797,KML,Travel Agency,Online,Value Plan,Yes,27,INDONESIA,28.0,10.64,M,48
